speaker,sentence,sentence_ons,sentence_off,c1_rel,c2_rel,v1_ons,v1_off,frame,word,vowel,vowel_ipa,c2,place,voicing,num_syl,sentence_duration,rel_rel,v1_duration,c2_clos_duration,speech_rate,speech_rate_c
en01,We'll say 'tarkus' this Friday,6.953003,8.715772,7.408791737377485,7.730121393054856,7.473753633183347,7.623003,She'll say '{word}' this Sunday,tarkus,ar,ɑː,k,velar,voiceless,di,1.7627689999999996,321.3296556773706,149.2493668166528,107.11839305485604,3.9710251314834797,-0.3290541328577903
en01,She'll say 'terbus' this Sunday,10.537871,12.464062,11.098107673486213,11.39413614612976,11.167059434878714,11.318701962440239,I'll say '{word}' this Thursday,terbus,er,əː,b,labial,voiced,di,1.9261909999999993,296.02847264354716,151.64252756152408,75.43418368952182,3.634115204566942,-0.6659640597743279
en01,We'll say 'teegus' this Friday,14.015473,15.793495,14.476465356930541,14.728832716595022,14.543135088643922,14.658515272658125,They'll say '{word}' this Tuesday,teegus,ee,iː,g,velar,voiced,di,1.778022,252.3673596644809,115.38018401420302,70.3174439368972,3.9369591602353626,-0.36312010410590734
en01,I'll say 'tarbus' this Thursday,17.424463,19.381159,17.851155084300824,18.14806831802293,17.94675602526758,18.062136209281782,She'll say '{word}' this Sunday,tarbus,ar,ɑː,b,labial,voiced,di,1.9566960000000009,296.9132337221048,115.38018401420302,85.93210874114732,3.5774591454165576,-0.7226201189247123
en01,You'll say 'terbus' this Monday,24.178292,25.8576,24.61565124584757,24.88936138595166,24.695886678316402,24.831046322447325,I'll say '{word}' this Thursday,terbus,er,əː,b,labial,voiced,di,1.6793080000000025,273.71014010408953,135.15964413092263,58.315063504334574,4.168383643738963,-0.131695620602307
en01,She'll say 'tarp' this Sunday,27.3,29.045608,27.79345524137984,28.16894214030239,27.899229713931526,28.06,They'll say '{word}' this Tuesday,tarp,ar,ɑː,p,labial,voiceless,mono,1.7456080000000007,375.4868989225528,160.7702860684732,108.94214030239269,3.4371978130256036,-0.8628814513156664
en01,I'll say 'teeb' this Thursday,35.610214,37.307188,36.11763536490426,36.441220241226205,36.18616614515777,36.320214,You'll say '{word}' this Monday,teeb,ee,iː,b,labial,voiced,mono,1.6969739999999973,323.5848763219451,134.0478548422297,121.00624122620474,3.5357053201758006,-0.7643739441654693
en01,She'll say 'tarbus' this Sunday,38.634695,40.439073,39.14131415323038,39.44451734595231,39.212045884131626,39.36368841169315,She'll say '{word}' this Sunday,tarbus,ar,ɑː,b,labial,voiced,di,1.8043779999999998,303.20319272193075,151.64252756152052,80.82893425916637,3.8794531966140138,-0.4206260677272562
en01,You'll say 'terkus' this Monday,41.861094,43.738506,42.327281000616,42.64427766822745,42.401933935682194,42.540390156499235,I'll say '{word}' this Thursday,terkus,er,əː,k,velar,voiceless,di,1.8774119999999996,316.9966676114555,138.4562208170408,103.88751172821742,3.7285369434093325,-0.5715423209319375
en01,She'll say 'terb' this Sunday,45.158319,46.756482,45.68623597459918,46.067572516336575,45.768319,45.93583138707428,We'll say '{word}' this Friday,terb,er,əː,b,labial,voiced,mono,1.5981629999999996,381.3365417373973,167.5123870742823,131.74112926229498,3.7543104176482633,-0.5457688466930066
en01,You'll say 'teep' this Monday,48.148431,49.660671,48.597859676475736,48.95182371828459,48.70938504845764,48.831358385844084,I'll say '{word}' this Thursday,teep,ee,iː,p,labial,voiceless,mono,1.5122399999999985,353.964041808851,121.97333738644289,120.46533244050295,3.9676241866370456,-0.33245507770422433
en01,She'll say 'tergus' this Sunday,51.065508,52.924989,51.57799344359258,51.886968938815706,51.646326197457405,51.82598962685095,You'll say '{word}' this Monday,tergus,er,əː,g,velar,voiced,di,1.8594809999999953,308.9754952231232,179.66342939354263,60.9793119647577,3.7644912747159114,-0.5355879896253586
en01,I'll say 'targ' this Thursday,54.336784,56.046647,54.74558006064647,55.10788435399785,54.86815255248643,55.051112558566096,You'll say '{word}' this Monday,targ,ar,ɑː,g,velar,voiced,mono,1.7098629999999986,362.3042933513787,182.9600060796679,56.77179543175015,3.509053064485286,-0.7910261998559838
en01,They'll say 'teep' this Tuesday,57.554591,59.409977,58.02672288228405,58.363946422280236,58.14532366078357,58.24916582639635,I'll say '{word}' this Thursday,teep,ee,iː,p,labial,voiceless,mono,1.8553859999999958,337.22353999618804,103.84216561278237,114.7805958838859,3.233828432466351,-1.0662508318749189
en01,They'll say 'tarpus' this Tuesday,63.510563,65.456713,63.960129545537306,64.3072738030478,64.05079935950599,64.200563,You'll say '{word}' this Monday,tarpus,ar,ɑː,p,labial,voiceless,di,1.9461499999999958,347.14425751050015,149.76364049401525,106.71080304780389,3.5968450530534724,-0.7032342112877976
en01,We'll say 'targus' this Friday,67.054876,68.80852,67.47322970570401,67.79907625218611,67.54884835065772,67.73345664508044,We'll say '{word}' this Friday,targus,ar,ɑː,g,velar,voiced,di,1.7536440000000084,325.8465464820972,184.6082944227163,65.61960710567405,3.9916881647586204,-0.30839109958264954
en01,She'll say 'teegus' this Sunday,70.294984,72.067728,70.8100823839342,71.04801586957838,70.87293756350758,70.99161432420789,They'll say '{word}' this Tuesday,teegus,ee,iː,g,velar,voiced,di,1.772744000000003,237.93348564417727,118.67676070031052,56.401545370491135,3.94868068937195,-0.3513985749693198
en01,I'll say 'terkus' this Thursday,73.295011,75.229977,73.74618739941762,74.05019557398118,73.845011,73.97058320351341,I'll say '{word}' this Thursday,terkus,er,əː,k,velar,voiceless,di,1.9349660000000029,304.0081745635632,125.57220351341414,79.61237046777114,3.6176346251045186,-0.6824446392367514
en01,I'll say 'teekus' this Thursday,76.754814,78.696668,77.22891571351614,77.50404308956827,77.3417139922494,77.4241284094024,We'll say '{word}' this Friday,teekus,ee,iː,k,velar,voiceless,di,1.9418540000000064,275.1273760521258,82.41441715300368,79.91468016587078,3.604802420779305,-0.695276843561965
en01,We'll say 'teek' this Friday,79.958992,81.398199,80.3710478842644,80.63494678897185,80.48331881799315,80.5508986400586,You'll say '{word}' this Monday,teek,ee,iː,k,velar,voiceless,mono,1.4392070000000103,263.89890470744604,67.57982206545421,84.04814891324008,4.16896249114961,-0.1311167731916596
en01,They'll say 'terb' this Tuesday,83.116654,84.839405,83.62792306765336,83.99205041930719,83.71585542480982,83.876654,We'll say '{word}' this Friday,terb,er,əː,b,labial,voiced,mono,1.7227510000000024,364.1273516538348,160.79857519018503,115.39641930718858,3.4828016352914566,-0.8172776290498134
en01,They'll say 'terkus' this Tuesday,89.142574,91.088724,89.59901216126374,89.89864987501994,89.69482153834264,89.81844316407214,I'll say '{word}' this Thursday,terkus,er,əː,k,velar,voiceless,di,1.946150000000003,299.63771375619785,123.62162572949842,80.20671094780596,3.596845053053459,-0.7032342112878109
en01,We'll say 'terbus' this Friday,92.368973,94.186239,92.81842475833514,93.13245867132241,92.90949565070574,93.05289673655196,I'll say '{word}' this Thursday,terbus,er,əː,b,labial,voiced,di,1.8172660000000036,314.03391298727,143.40108584622158,79.56193477045304,3.8519402222899597,-0.4481390420513103
en01,We'll say 'terkus' this Friday,95.593772,97.299339,96.05361744030675,96.3660078364315,96.13056321967213,96.26572286380305,I'll say '{word}' this Thursday,terkus,er,əː,k,velar,voiceless,di,1.705567000000002,312.39039612475494,135.15964413092263,100.28497262845804,4.104206988057339,-0.19587227628393133
en01,You'll say 'terk' this Monday,98.630023,100.174745,99.11212122674061,99.47034683270655,99.22100212622993,99.370023,We'll say '{word}' this Friday,terk,er,əː,k,velar,voiceless,mono,1.5447220000000073,358.22560596594144,149.02087377006978,100.32383270655032,3.8841940491557523,-0.4158852151855177
en01,You'll say 'targ' this Monday,101.964989,103.478475,102.43152963677498,102.77106445976014,102.5315601295796,102.70133382891478,You'll say '{word}' this Monday,targ,ar,ɑː,g,velar,voiced,mono,1.5134860000000003,339.5348229851578,169.77369933518105,69.73063084535625,3.964357780646797,-0.33572148369447286
en01,You'll say 'tark' this Monday,104.909088,106.488506,105.3732352921283,105.75540428114644,105.419088,105.649088,I'll say '{word}' this Thursday,tark,ar,ɑː,k,velar,voiceless,mono,1.579418000000004,382.16898901814034,230.00000000000398,106.31628114643377,3.7988676841722615,-0.5012115801690085
en01,They'll say 'teek' this Tuesday,107.932009,109.663352,108.42019783117912,108.72221097781255,108.5226088610386,108.61326471990691,You'll say '{word}' this Monday,teek,ee,iː,k,velar,voiceless,mono,1.7313430000000096,302.0131466334277,90.65585886830263,108.94625790564305,3.465517809007208,-0.8345614553340619
en01,She'll say 'targus' this Sunday,111.210023,113.031524,111.68778075082143,112.0169170509067,111.77553850804796,111.95025707241233,We'll say '{word}' this Friday,targus,ar,ɑː,g,velar,voiced,di,1.8215009999999978,329.13630008526695,174.71856436436894,66.65997849437133,3.842984439756008,-0.45709482458526196
en01,They'll say 'terg' this Tuesday,114.315011,116.01906,114.78500293972512,115.11722441661409,114.88081200969329,115.05882715074378,They'll say '{word}' this Tuesday,terg,er,əː,g,velar,voiced,mono,1.7040489999999977,332.2214768889751,178.0151410504942,58.3972658703118,3.5210255104166652,-0.7790537539246047
en01,I'll say 'terpus' this Thursday,120.452674,122.330086,120.88805761486154,121.20037968865049,120.97089600283833,121.09286934022477,They'll say '{word}' this Tuesday,terpus,er,əː,p,labial,voiceless,di,1.8774119999999925,312.3220737889483,121.97333738643579,107.51034842571983,3.7285369434093463,-0.5715423209319237
en01,I'll say 'tark' this Thursday,123.570023,125.261577,124.01768344912364,124.34075484463217,124.11600434692171,124.250023,I'll say '{word}' this Thursday,tark,ar,ɑː,k,velar,voiceless,mono,1.6915539999999964,323.0713955085349,134.01865307828587,90.73184463217387,3.547034265533357,-0.7530449988079129
en01,They'll say 'tarp' this Tuesday,126.464495,128.178654,126.8968853042775,127.26311965910286,127.0210761729941,127.16118068215421,They'll say '{word}' this Tuesday,tarp,ar,ɑː,p,labial,voiceless,mono,1.714158999999995,366.2343548253517,140.10450916011052,101.93897694864518,3.5002587274576147,-0.7998205368836553
en01,They'll say 'terbus' this Tuesday,129.304242,131.203135,129.7919867389349,130.10495450252958,129.8852167126944,130.0203763568253,I'll say '{word}' this Thursday,terbus,er,əː,b,labial,voiced,di,1.8988930000000153,312.9677635946848,135.15964413090842,84.57814570428468,3.6863583150814416,-0.6137209492598283
en01,You'll say 'terp' this Monday,132.310023,134.083267,132.779738931197,133.18588890075839,132.91302066221567,133.04323544131742,She'll say '{word}' this Sunday,terp,er,əː,p,labial,voiceless,mono,1.7732440000000054,406.1499695613975,130.21477910174895,142.65345944096453,3.383629100112552,-0.916450164228718
en01,She'll say 'tark' this Sunday,135.208855,136.935902,135.72247356568687,136.07014581400753,135.83388556620704,135.97234178702408,I'll say '{word}' this Thursday,tark,ar,ɑː,k,velar,voiceless,mono,1.7270469999999989,347.6722483206629,138.45622081703368,97.8040269834537,3.474138225537582,-0.8259410388036881
en01,You'll say 'tarb' this Monday,138.542658,140.037714,139.01552398752435,139.3402293853309,139.12445716778635,139.272658,I'll say '{word}' this Thursday,tarb,ar,ɑː,b,labial,voiced,mono,1.4950560000000053,324.7053978065537,148.20083221366076,67.57138533089346,4.013227598163533,-0.2868516661777374
en01,We'll say 'teeg' this Friday,141.530023,143.113008,142.01806699473593,142.33604395278908,142.1258885038188,142.26434472463583,She'll say '{word}' this Sunday,teeg,ee,iː,g,velar,voiced,mono,1.5829850000000079,317.9769580531513,138.45622081703368,71.6992281532498,3.790307551871919,-0.5097717124693508
en01,I'll say 'teebus' this Thursday,155.555011,157.430123,156.0306189188899,156.3122168571232,156.13059545942673,156.21960302995197,We'll say '{word}' this Friday,teebus,ee,iː,b,labial,voiced,di,1.8751120000000014,281.5979382332898,89.00757052524,92.61382717122046,3.733110342208889,-0.5669689221323808
en01,You'll say 'teebus' this Monday,161.386866,163.040879,161.81366423334603,162.06737190461874,161.8996008835458,162.00179476081553,We'll say '{word}' this Friday,teebus,ee,iː,b,labial,voiced,di,1.654012999999992,253.7076712727071,102.19387726974105,65.57714380321045,4.232131186393356,-0.06794807794791424
en01,You'll say 'teeg' this Monday,164.204392,165.70804,164.7041213688175,164.9693743968887,164.7948519601107,164.89704583738043,She'll say '{word}' this Sunday,teeg,ee,iː,g,velar,voiced,mono,1.5036479999999983,265.2530280711858,102.19387726974105,72.32855950826433,3.9902956010981336,-0.30978366324313633
en01,They'll say 'teeg' this Tuesday,166.885182,168.612229,167.36922093146342,167.69739112005732,167.51462568624882,167.63165415860607,She'll say '{word}' this Sunday,teeg,ee,iː,g,velar,voiced,mono,1.7270470000000273,328.17018859390146,117.02847235724789,65.73696145125041,3.4741382255375246,-0.8259410388037454
en01,She'll say 'terk' this Sunday,170.761783,172.441573,171.3895427061131,171.70821442671377,171.50874773299464,171.64390737712557,We'll say '{word}' this Friday,terk,er,əː,k,velar,voiceless,mono,1.679789999999997,318.67172060066196,135.15964413093684,64.30704958819433,3.5718750558105543,-0.7282042085307157
en01,They'll say 'tark' this Tuesday,173.721822,175.405908,174.1989802542957,174.53075519087147,174.29699802836294,174.421822,I'll say '{word}' this Thursday,tark,ar,ɑː,k,velar,voiceless,mono,1.6840860000000077,331.7749365757834,124.82397163705627,108.93319087148257,3.5627634218204847,-0.7373158425207853
en01,You'll say 'teeb' this Monday,176.467054,178.055259,176.91835305244106,177.2997974199437,177.06272413133763,177.20282864049773,You'll say '{word}' this Monday,teeb,ee,iː,b,labial,voiced,mono,1.5882050000000163,381.4443675026382,140.1045091600963,96.96877944597304,3.777849836765366,-0.5222294275759038
en01,We'll say 'targ' this Friday,179.460096,180.980929,179.87909052619383,180.22825880155398,179.99945833868395,180.16758374967606,You'll say '{word}' this Monday,targ,ar,ɑː,g,velar,voiced,mono,1.5208330000000103,349.1682753601424,168.1254109921042,60.675051877922215,3.9452063441547884,-0.35487292018648153
en01,You'll say 'terb' this Monday,182.281488,183.819505,182.75142654519456,183.10046580419146,182.84986072723055,183.0130412731935,We'll say '{word}' this Friday,terb,er,əː,b,labial,voiced,mono,1.5380169999999964,349.03925899689625,163.18054596294473,87.42453099796421,3.901127230713324,-0.3989520336279462
en01,They'll say 'teebus' this Tuesday,185.275011,187.118939,185.73000428308376,186.03478192019895,185.83776085376266,185.9547893261199,We'll say '{word}' this Friday,teebus,ee,iː,b,labial,voiced,di,1.8439280000000053,304.777637115194,117.02847235724789,79.99259407904447,3.796243671119469,-0.503835593221801
en01,They'll say 'tarkus' this Tuesday,188.424989,190.301401,188.84417116741898,189.18995047547295,188.93375820542525,189.1167182115049,She'll say '{word}' this Sunday,tarkus,ar,ɑː,k,velar,voiceless,di,1.8764119999999878,345.7793080539773,182.96000607963947,73.23226396806604,3.7305240000597126,-0.5695552642815573
en01,They'll say 'terp' this Tuesday,191.6,193.252848,192.09025181720148,192.4346898308792,192.1992605791031,192.34925481832158,She'll say '{word}' this Sunday,terp,er,əː,p,labial,voiceless,mono,1.6528480000000059,344.438013677717,149.9942392184721,85.43501255761043,3.630097867438493,-0.6699813969027768
